"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",5,228,0.0219298245614035
"2","1008","ROI_028","LOCRC",8,49,0.163265306122449
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",0,20,0
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",6,16,0.375
"7","1050","ROI_028","LOCRC",0,12,0
"8","1051","ROI_028","LOCRC",0,11,0
"9","1102","ROI_028","LOCRC",1,19,0.0526315789473684
"10","111","ROI_024","EOCRC",884,12421,0.0711697930923436
"11","1115","ROI_028","LOCRC",0,11,0
"12","1137","ROI_028","LOCRC",0,14,0
"13","1140","ROI_028","LOCRC",0,17,0
"14","1144","ROI_028","LOCRC",0,38,0
"15","1150","ROI_028","LOCRC",0,12,0
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",1,41,0.024390243902439
"18","1213","ROI_031","LOCRC",2,144,0.0138888888888889
"19","1214","ROI_031","LOCRC",0,13,0
"20","1216","ROI_031","LOCRC",0,13,0
"21","1224","ROI_031","LOCRC",0,12,0
"22","1228","ROI_031","LOCRC",2,153,0.0130718954248366
"23","1233","ROI_031","LOCRC",12,221,0.0542986425339367
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",0,19,0
"26","1292","ROI_031","LOCRC",0,15,0
"27","1301","ROI_031","LOCRC",1,16,0.0625
"28","1306","ROI_031","LOCRC",4,150,0.0266666666666667
"29","1307","ROI_031","LOCRC",1,20,0.05
"30","1316","ROI_031","LOCRC",3,14,0.214285714285714
"31","1318","ROI_031","LOCRC",8,92,0.0869565217391304
"32","1322","ROI_031","LOCRC",1,15,0.0666666666666667
"33","1323","ROI_031","LOCRC",2,133,0.0150375939849624
"34","1326","ROI_031","LOCRC",1,13,0.0769230769230769
"35","1336","ROI_031","LOCRC",2,86,0.0232558139534884
"36","1357","ROI_031","LOCRC",1,69,0.0144927536231884
"37","1372","ROI_031","LOCRC",0,13,0
"38","1388","ROI_031","LOCRC",2,220,0.00909090909090909
"39","1394","ROI_031","LOCRC",5,25,0.2
"40","1399","ROI_031","LOCRC",3,18,0.166666666666667
"41","1410","ROI_031","LOCRC",2,11,0.181818181818182
"42","1429","ROI_033","EOCRC",1,12,0.0833333333333333
"43","1430","ROI_033","EOCRC",0,17,0
"44","1437","ROI_033","EOCRC",20,616,0.0324675324675325
"45","1454","ROI_033","EOCRC",7,264,0.0265151515151515
"46","1457","ROI_033","EOCRC",2,10,0.2
"47","1462","ROI_033","EOCRC",1,17,0.0588235294117647
"48","1468","ROI_033","EOCRC",10,287,0.0348432055749129
"49","1493","ROI_033","EOCRC",2,77,0.025974025974026
"50","1494","ROI_033","EOCRC",0,48,0
"51","1495","ROI_033","EOCRC",0,109,0
"52","1501","ROI_033","EOCRC",1,31,0.032258064516129
