"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",157,228,0.68859649122807
"2","1008","ROI_028","LOCRC",4,49,0.0816326530612245
"3","101","ROI_022","EOCRC",10,10,1
"4","1012","ROI_028","LOCRC",1,20,0.05
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",3,16,0.1875
"7","1050","ROI_028","LOCRC",2,12,0.166666666666667
"8","1051","ROI_028","LOCRC",0,11,0
"9","1102","ROI_028","LOCRC",3,19,0.157894736842105
"10","111","ROI_024","EOCRC",685,12421,0.0551485387649948
"11","1115","ROI_028","LOCRC",1,11,0.0909090909090909
"12","1137","ROI_028","LOCRC",8,14,0.571428571428571
"13","1140","ROI_028","LOCRC",0,17,0
"14","1144","ROI_028","LOCRC",33,38,0.868421052631579
"15","1150","ROI_028","LOCRC",0,12,0
"16","1163","ROI_028","LOCRC",15,15,1
"17","1196","ROI_028","LOCRC",2,41,0.048780487804878
"18","1213","ROI_031","LOCRC",1,144,0.00694444444444444
"19","1214","ROI_031","LOCRC",1,13,0.0769230769230769
"20","1216","ROI_031","LOCRC",3,13,0.230769230769231
"21","1224","ROI_031","LOCRC",8,12,0.666666666666667
"22","1228","ROI_031","LOCRC",94,153,0.61437908496732
"23","1233","ROI_031","LOCRC",23,221,0.104072398190045
"24","1256","ROI_031","LOCRC",1,12,0.0833333333333333
"25","1275","ROI_031","LOCRC",4,19,0.210526315789474
"26","1292","ROI_031","LOCRC",1,15,0.0666666666666667
"27","1301","ROI_031","LOCRC",0,16,0
"28","1306","ROI_031","LOCRC",1,150,0.00666666666666667
"29","1307","ROI_031","LOCRC",0,20,0
"30","1316","ROI_031","LOCRC",0,14,0
"31","1318","ROI_031","LOCRC",1,92,0.0108695652173913
"32","1322","ROI_031","LOCRC",0,15,0
"33","1323","ROI_031","LOCRC",0,133,0
"34","1326","ROI_031","LOCRC",0,13,0
"35","1336","ROI_031","LOCRC",0,86,0
"36","1357","ROI_031","LOCRC",1,69,0.0144927536231884
"37","1372","ROI_031","LOCRC",0,13,0
"38","1388","ROI_031","LOCRC",6,220,0.0272727272727273
"39","1394","ROI_031","LOCRC",1,25,0.04
"40","1399","ROI_031","LOCRC",1,18,0.0555555555555556
"41","1410","ROI_031","LOCRC",0,11,0
"42","1429","ROI_033","EOCRC",0,12,0
"43","1430","ROI_033","EOCRC",0,17,0
"44","1437","ROI_033","EOCRC",13,616,0.0211038961038961
"45","1454","ROI_033","EOCRC",3,264,0.0113636363636364
"46","1457","ROI_033","EOCRC",0,10,0
"47","1462","ROI_033","EOCRC",0,17,0
"48","1468","ROI_033","EOCRC",8,287,0.0278745644599303
"49","1493","ROI_033","EOCRC",3,77,0.038961038961039
"50","1494","ROI_033","EOCRC",1,48,0.0208333333333333
"51","1495","ROI_033","EOCRC",0,109,0
"52","1501","ROI_033","EOCRC",0,31,0
"53","1502","ROI_033","EOCRC",1,27,0.037037037037037
"54","1504","ROI_033","EOCRC",0,10,0
"55","1510","ROI_033","EOCRC",0,14,0
"56","1511","ROI_033","EOCRC",0,12,0
"57","1517","ROI_033","EOCRC",2,145,0.0137931034482759
"58","1518","ROI_033","EOCRC",1,91,0.010989010989011
"59","1524","ROI_033","EOCRC",7,328,0.0213414634146341
"60","1526","ROI_033","EOCRC",15,376,0.0398936170212766
"61","1540","ROI_033","EOCRC",0,11,0
"62","1542","ROI_033","EOCRC",0,10,0
"63","1543","ROI_033","EOCRC",0,51,0
"64","1548","ROI_033","EOCRC",2,156,0.0128205128205128
"65","1556","ROI_033","EOCRC",3,71,0.0422535211267606
"66","1561","ROI_033","EOCRC",0,12,0
"67","1587","ROI_034","LOCRC",6,10,0.6
"68","1589","ROI_034","LOCRC",4,19,0.210526315789474
"69","1593","ROI_034","LOCRC",6,50,0.12
"70","16","ROI_022","EOCRC",54,444,0.121621621621622
"71","1605","ROI_034","LOCRC",1,21,0.0476190476190476
"72","1624","ROI_034","LOCRC",1,11,0.0909090909090909
"73","1626","ROI_034","LOCRC",2,11,0.181818181818182
"74","1629","ROI_034","LOCRC",1,12,0.0833333333333333
"75","1640","ROI_034","LOCRC",15,85,0.176470588235294
"76","1653","ROI_034","LOCRC",9,22,0.409090909090909
"77","1654","ROI_034","LOCRC",10,25,0.4
"78","1657","ROI_034","LOCRC",1,36,0.0277777777777778
"79","1682","ROI_034","LOCRC",0,16,0
