"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",15,228,0.0657894736842105
"2","1008","ROI_028","LOCRC",5,49,0.102040816326531
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",2,20,0.1
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",0,16,0
"7","1050","ROI_028","LOCRC",0,12,0
"8","1051","ROI_028","LOCRC",1,11,0.0909090909090909
"9","1102","ROI_028","LOCRC",0,19,0
"10","111","ROI_024","EOCRC",2391,12421,0.192496578375332
"11","1115","ROI_028","LOCRC",1,11,0.0909090909090909
"12","1137","ROI_028","LOCRC",2,14,0.142857142857143
"13","1140","ROI_028","LOCRC",2,17,0.117647058823529
"14","1144","ROI_028","LOCRC",3,38,0.0789473684210526
"15","1150","ROI_028","LOCRC",1,12,0.0833333333333333
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",1,41,0.024390243902439
"18","1213","ROI_031","LOCRC",29,144,0.201388888888889
"19","1214","ROI_031","LOCRC",0,13,0
"20","1216","ROI_031","LOCRC",2,13,0.153846153846154
"21","1224","ROI_031","LOCRC",1,12,0.0833333333333333
"22","1228","ROI_031","LOCRC",22,153,0.143790849673203
"23","1233","ROI_031","LOCRC",4,221,0.0180995475113122
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",0,19,0
"26","1292","ROI_031","LOCRC",0,15,0
"27","1301","ROI_031","LOCRC",0,16,0
"28","1306","ROI_031","LOCRC",0,150,0
"29","1307","ROI_031","LOCRC",0,20,0
"30","1316","ROI_031","LOCRC",0,14,0
"31","1318","ROI_031","LOCRC",1,92,0.0108695652173913
"32","1322","ROI_031","LOCRC",0,15,0
"33","1323","ROI_031","LOCRC",0,133,0
"34","1326","ROI_031","LOCRC",0,13,0
"35","1336","ROI_031","LOCRC",0,86,0
"36","1357","ROI_031","LOCRC",1,69,0.0144927536231884
"37","1372","ROI_031","LOCRC",0,13,0
