"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",11,228,0.0482456140350877
"2","1008","ROI_028","LOCRC",16,49,0.326530612244898
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",4,20,0.2
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",4,16,0.25
"7","1050","ROI_028","LOCRC",3,12,0.25
"8","1051","ROI_028","LOCRC",6,11,0.545454545454545
"9","1102","ROI_028","LOCRC",10,19,0.526315789473684
"10","111","ROI_024","EOCRC",1527,12421,0.122936961597295
"11","1115","ROI_028","LOCRC",7,11,0.636363636363636
"12","1137","ROI_028","LOCRC",0,14,0
"13","1140","ROI_028","LOCRC",5,17,0.294117647058824
"14","1144","ROI_028","LOCRC",0,38,0
"15","1150","ROI_028","LOCRC",0,12,0
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",18,41,0.439024390243902
"18","1213","ROI_031","LOCRC",0,144,0
"19","1214","ROI_031","LOCRC",0,13,0
"20","1216","ROI_031","LOCRC",0,13,0
"21","1224","ROI_031","LOCRC",0,12,0
"22","1228","ROI_031","LOCRC",2,153,0.0130718954248366
"23","1233","ROI_031","LOCRC",36,221,0.16289592760181
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",0,19,0
"26","1292","ROI_031","LOCRC",2,15,0.133333333333333
"27","1301","ROI_031","LOCRC",1,16,0.0625
"28","1306","ROI_031","LOCRC",13,150,0.0866666666666667
"29","1307","ROI_031","LOCRC",4,20,0.2
"30","1316","ROI_031","LOCRC",0,14,0
"31","1318","ROI_031","LOCRC",22,92,0.239130434782609
"32","1322","ROI_031","LOCRC",3,15,0.2
"33","1323","ROI_031","LOCRC",13,133,0.0977443609022556
"34","1326","ROI_031","LOCRC",1,13,0.0769230769230769
"35","1336","ROI_031","LOCRC",5,86,0.0581395348837209
"36","1357","ROI_031","LOCRC",12,69,0.173913043478261
"37","1372","ROI_031","LOCRC",1,13,0.0769230769230769
"38","1388","ROI_031","LOCRC",39,220,0.177272727272727
"39","1394","ROI_031","LOCRC",11,25,0.44
"40","1399","ROI_031","LOCRC",7,18,0.388888888888889
"41","1410","ROI_031","LOCRC",7,11,0.636363636363636
"42","1429","ROI_033","EOCRC",6,12,0.5
"43","1430","ROI_033","EOCRC",1,17,0.0588235294117647
"44","1437","ROI_033","EOCRC",105,616,0.170454545454545
"45","1454","ROI_033","EOCRC",11,264,0.0416666666666667
"46","1457","ROI_033","EOCRC",4,10,0.4
"47","1462","ROI_033","EOCRC",3,17,0.176470588235294
"48","1468","ROI_033","EOCRC",49,287,0.170731707317073
"49","1493","ROI_033","EOCRC",17,77,0.220779220779221
"50","1494","ROI_033","EOCRC",5,48,0.104166666666667
"51","1495","ROI_033","EOCRC",6,109,0.055045871559633
"52","1501","ROI_033","EOCRC",6,31,0.193548387096774
"53","1502","ROI_033","EOCRC",5,27,0.185185185185185
"54","1504","ROI_033","EOCRC",1,10,0.1
"55","1510","ROI_033","EOCRC",0,14,0
"56","1511","ROI_033","EOCRC",0,12,0
"57","1517","ROI_033","EOCRC",53,145,0.36551724137931
"58","1518","ROI_033","EOCRC",25,91,0.274725274725275
"59","1524","ROI_033","EOCRC",31,328,0.0945121951219512
"60","1526","ROI_033","EOCRC",30,376,0.0797872340425532
"61","1540","ROI_033","EOCRC",10,11,0.909090909090909
"62","1542","ROI_033","EOCRC",0,10,0
"63","1543","ROI_033","EOCRC",11,51,0.215686274509804
"64","1548","ROI_033","EOCRC",64,156,0.41025641025641
"65","1556","ROI_033","EOCRC",24,71,0.338028169014085
"66","1561","ROI_033","EOCRC",0,12,0
"67","1587","ROI_034","LOCRC",2,10,0.2
"68","1589","ROI_034","LOCRC",5,19,0.263157894736842
"69","1593","ROI_034","LOCRC",18,50,0.36
"70","16","ROI_022","EOCRC",76,444,0.171171171171171
"71","1605","ROI_034","LOCRC",4,21,0.19047619047619
"72","1624","ROI_034","LOCRC",5,11,0.454545454545455
"73","1626","ROI_034","LOCRC",2,11,0.181818181818182
"74","1629","ROI_034","LOCRC",6,12,0.5
"75","1640","ROI_034","LOCRC",36,85,0.423529411764706
"76","1653","ROI_034","LOCRC",5,22,0.227272727272727
"77","1654","ROI_034","LOCRC",8,25,0.32
"78","1657","ROI_034","LOCRC",20,36,0.555555555555556
"79","1682","ROI_034","LOCRC",9,16,0.5625
"80","1683","ROI_034","LOCRC",1,15,0.0666666666666667
"81","1695","ROI_034","LOCRC",3,12,0.25
"82","1697","ROI_034","LOCRC",3,19,0.157894736842105
"83","1701","ROI_034","LOCRC",38,59,0.64406779661017
"84","1716","ROI_034","LOCRC",7,38,0.184210526315789
"85","1739","ROI_034","LOCRC",26,44,0.590909090909091
"86","1745","ROI_034","LOCRC",1,10,0.1
"87","1754","ROI_034","LOCRC",7,23,0.304347826086957
"88","1757","ROI_034","LOCRC",4,25,0.16
"89","1760","ROI_034","LOCRC",1,17,0.0588235294117647
"90","1807","ROI_034","LOCRC",34,114,0.298245614035088
"91","1824","ROI_034","LOCRC",8,33,0.242424242424242
"92","1846","ROI_034","LOCRC",3,27,0.111111111111111
"93","1850","ROI_034","LOCRC",5,12,0.416666666666667
"94","1853","ROI_034","LOCRC",0,35,0
"95","1860","ROI_034","LOCRC",7,22,0.318181818181818
"96","1865","ROI_034","LOCRC",0,17,0
"97","1867","ROI_034","LOCRC",10,21,0.476190476190476
"98","1873","ROI_034","LOCRC",2,35,0.0571428571428571
"99","1883","ROI_034","LOCRC",1,11,0.0909090909090909
"100","19","ROI_022","EOCRC",0,59,0
"101","1913","ROI_034","LOCRC",4,11,0.363636363636364
"102","1920","ROI_034","LOCRC",7,18,0.388888888888889
"103","1935","ROI_034","LOCRC",0,17,0
"104","1936","ROI_034","LOCRC",4,13,0.307692307692308
"105","1941","ROI_034","LOCRC",8,28,0.285714285714286
"106","1951","ROI_034","LOCRC",39,65,0.6
"107","1957","ROI_034","LOCRC",10,26,0.384615384615385
"108","1962","ROI_034","LOCRC",3,10,0.3
"109","1979","ROI_034","LOCRC",15,88,0.170454545454545
"110","1983","ROI_034","LOCRC",8,27,0.296296296296296
"111","199","ROI_024","EOCRC",6,40,0.15
"112","2015","ROI_034","LOCRC",5,22,0.227272727272727
"113","2023","ROI_034","LOCRC",4,11,0.363636363636364
"114","2045","ROI_036","EOCRC",1017,9044,0.112450243255197
"115","206","ROI_025","LOCRC",4,74,0.0540540540540541
"116","207","ROI_025","LOCRC",43,225,0.191111111111111
"117","209","ROI_025","LOCRC",232,1505,0.154152823920266
"118","2095","ROI_037","LOCRC",1446,5621,0.257249599715353
"119","211","ROI_025","LOCRC",2,15,0.133333333333333
"120","2112","ROI_037","LOCRC",2,13,0.153846153846154
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",10,36,0.277777777777778
"123","2174","ROI_037","LOCRC",44,165,0.266666666666667
"124","2208","ROI_037","LOCRC",38,145,0.262068965517241
"125","2216","ROI_037","LOCRC",4,33,0.121212121212121
"126","2229","ROI_038","EOCRC",1284,7657,0.167689695703278
"127","2244","ROI_038","EOCRC",1,24,0.0416666666666667
"128","2248","ROI_038","EOCRC",0,16,0
"129","2255","ROI_038","EOCRC",6,29,0.206896551724138
"130","2274","ROI_038","EOCRC",7,24,0.291666666666667
"131","2282","ROI_038","EOCRC",2,39,0.0512820512820513
"132","2319","ROI_001","LOCRC",15,123,0.121951219512195
"133","2320","ROI_001","LOCRC",8,168,0.0476190476190476
"134","2322","ROI_001","LOCRC",6,20,0.3
"135","2329","ROI_001","LOCRC",4,308,0.012987012987013
"136","2341","ROI_001","LOCRC",1,17,0.0588235294117647
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",4,24,0.166666666666667
"139","235","ROI_025","LOCRC",1,10,0.1
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",12,20,0.6
"142","2387","ROI_001","LOCRC",0,12,0
"143","2403","ROI_001","LOCRC",4,18,0.222222222222222
