"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",15,228,0.0657894736842105
"2","1008","ROI_028","LOCRC",9,49,0.183673469387755
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",4,20,0.2
"5","1024","ROI_028","LOCRC",3,16,0.1875
"6","1027","ROI_028","LOCRC",1,16,0.0625
"7","1050","ROI_028","LOCRC",4,12,0.333333333333333
"8","1051","ROI_028","LOCRC",0,11,0
"9","1102","ROI_028","LOCRC",1,19,0.0526315789473684
"10","111","ROI_024","EOCRC",3131,12421,0.25207310200467
"11","1115","ROI_028","LOCRC",0,11,0
"12","1137","ROI_028","LOCRC",0,14,0
"13","1140","ROI_028","LOCRC",1,17,0.0588235294117647
"14","1144","ROI_028","LOCRC",0,38,0
"15","1150","ROI_028","LOCRC",1,12,0.0833333333333333
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",3,41,0.0731707317073171
"18","1213","ROI_031","LOCRC",111,144,0.770833333333333
"19","1214","ROI_031","LOCRC",8,13,0.615384615384615
"20","1216","ROI_031","LOCRC",6,13,0.461538461538462
"21","1224","ROI_031","LOCRC",0,12,0
"22","1228","ROI_031","LOCRC",19,153,0.124183006535948
"23","1233","ROI_031","LOCRC",110,221,0.497737556561086
"24","1256","ROI_031","LOCRC",11,12,0.916666666666667
"25","1275","ROI_031","LOCRC",9,19,0.473684210526316
"26","1292","ROI_031","LOCRC",7,15,0.466666666666667
"27","1301","ROI_031","LOCRC",5,16,0.3125
"28","1306","ROI_031","LOCRC",89,150,0.593333333333333
"29","1307","ROI_031","LOCRC",9,20,0.45
"30","1316","ROI_031","LOCRC",8,14,0.571428571428571
"31","1318","ROI_031","LOCRC",47,92,0.510869565217391
"32","1322","ROI_031","LOCRC",10,15,0.666666666666667
"33","1323","ROI_031","LOCRC",102,133,0.766917293233083
"34","1326","ROI_031","LOCRC",10,13,0.769230769230769
"35","1336","ROI_031","LOCRC",65,86,0.755813953488372
"36","1357","ROI_031","LOCRC",40,69,0.579710144927536
"37","1372","ROI_031","LOCRC",10,13,0.769230769230769
"38","1388","ROI_031","LOCRC",85,220,0.386363636363636
"39","1394","ROI_031","LOCRC",3,25,0.12
"40","1399","ROI_031","LOCRC",4,18,0.222222222222222
"41","1410","ROI_031","LOCRC",1,11,0.0909090909090909
"42","1429","ROI_033","EOCRC",1,12,0.0833333333333333
"43","1430","ROI_033","EOCRC",11,17,0.647058823529412
"44","1437","ROI_033","EOCRC",346,616,0.561688311688312
"45","1454","ROI_033","EOCRC",200,264,0.757575757575758
"46","1457","ROI_033","EOCRC",2,10,0.2
"47","1462","ROI_033","EOCRC",7,17,0.411764705882353
"48","1468","ROI_033","EOCRC",145,287,0.505226480836237
"49","1493","ROI_033","EOCRC",37,77,0.48051948051948
"50","1494","ROI_033","EOCRC",20,48,0.416666666666667
"51","1495","ROI_033","EOCRC",59,109,0.541284403669725
"52","1501","ROI_033","EOCRC",7,31,0.225806451612903
"53","1502","ROI_033","EOCRC",11,27,0.407407407407407
"54","1504","ROI_033","EOCRC",8,10,0.8
"55","1510","ROI_033","EOCRC",8,14,0.571428571428571
"56","1511","ROI_033","EOCRC",7,12,0.583333333333333
"57","1517","ROI_033","EOCRC",44,145,0.303448275862069
"58","1518","ROI_033","EOCRC",41,91,0.450549450549451
"59","1524","ROI_033","EOCRC",207,328,0.63109756097561
"60","1526","ROI_033","EOCRC",266,376,0.707446808510638
"61","1540","ROI_033","EOCRC",1,11,0.0909090909090909
"62","1542","ROI_033","EOCRC",1,10,0.1
"63","1543","ROI_033","EOCRC",29,51,0.568627450980392
"64","1548","ROI_033","EOCRC",41,156,0.262820512820513
"65","1556","ROI_033","EOCRC",26,71,0.366197183098592
"66","1561","ROI_033","EOCRC",8,12,0.666666666666667
"67","1587","ROI_034","LOCRC",0,10,0
"68","1589","ROI_034","LOCRC",6,19,0.31578947368421
"69","1593","ROI_034","LOCRC",3,50,0.06
"70","16","ROI_022","EOCRC",180,444,0.405405405405405
"71","1605","ROI_034","LOCRC",2,21,0.0952380952380952
