"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",1,228,0.0043859649122807
"2","1008","ROI_028","LOCRC",0,49,0
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",0,20,0
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",0,16,0
"7","1050","ROI_028","LOCRC",0,12,0
"8","1051","ROI_028","LOCRC",0,11,0
"9","1102","ROI_028","LOCRC",0,19,0
"10","111","ROI_024","EOCRC",441,12421,0.0355043877304565
"11","1115","ROI_028","LOCRC",0,11,0
"12","1137","ROI_028","LOCRC",0,14,0
"13","1140","ROI_028","LOCRC",0,17,0
"14","1144","ROI_028","LOCRC",0,38,0
"15","1150","ROI_028","LOCRC",0,12,0
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",0,41,0
"18","1213","ROI_031","LOCRC",0,144,0
"19","1214","ROI_031","LOCRC",0,13,0
"20","1216","ROI_031","LOCRC",0,13,0
"21","1224","ROI_031","LOCRC",0,12,0
"22","1228","ROI_031","LOCRC",0,153,0
"23","1233","ROI_031","LOCRC",2,221,0.00904977375565611
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",0,19,0
"26","1292","ROI_031","LOCRC",0,15,0
"27","1301","ROI_031","LOCRC",0,16,0
"28","1306","ROI_031","LOCRC",2,150,0.0133333333333333
"29","1307","ROI_031","LOCRC",1,20,0.05
"30","1316","ROI_031","LOCRC",0,14,0
"31","1318","ROI_031","LOCRC",1,92,0.0108695652173913
"32","1322","ROI_031","LOCRC",0,15,0
"33","1323","ROI_031","LOCRC",6,133,0.0451127819548872
"34","1326","ROI_031","LOCRC",1,13,0.0769230769230769
"35","1336","ROI_031","LOCRC",3,86,0.0348837209302326
"36","1357","ROI_031","LOCRC",4,69,0.0579710144927536
"37","1372","ROI_031","LOCRC",0,13,0
"38","1388","ROI_031","LOCRC",7,220,0.0318181818181818
"39","1394","ROI_031","LOCRC",0,25,0
"40","1399","ROI_031","LOCRC",0,18,0
"41","1410","ROI_031","LOCRC",0,11,0
"42","1429","ROI_033","EOCRC",0,12,0
"43","1430","ROI_033","EOCRC",0,17,0
"44","1437","ROI_033","EOCRC",5,616,0.00811688311688312
"45","1454","ROI_033","EOCRC",1,264,0.00378787878787879
"46","1457","ROI_033","EOCRC",0,10,0
"47","1462","ROI_033","EOCRC",0,17,0
"48","1468","ROI_033","EOCRC",3,287,0.0104529616724739
"49","1493","ROI_033","EOCRC",0,77,0
"50","1494","ROI_033","EOCRC",0,48,0
"51","1495","ROI_033","EOCRC",0,109,0
"52","1501","ROI_033","EOCRC",0,31,0
"53","1502","ROI_033","EOCRC",0,27,0
"54","1504","ROI_033","EOCRC",0,10,0
"55","1510","ROI_033","EOCRC",0,14,0
"56","1511","ROI_033","EOCRC",0,12,0
"57","1517","ROI_033","EOCRC",0,145,0
"58","1518","ROI_033","EOCRC",1,91,0.010989010989011
"59","1524","ROI_033","EOCRC",2,328,0.00609756097560976
"60","1526","ROI_033","EOCRC",0,376,0
"61","1540","ROI_033","EOCRC",0,11,0
"62","1542","ROI_033","EOCRC",0,10,0
"63","1543","ROI_033","EOCRC",0,51,0
"64","1548","ROI_033","EOCRC",1,156,0.00641025641025641
"65","1556","ROI_033","EOCRC",0,71,0
"66","1561","ROI_033","EOCRC",0,12,0
"67","1587","ROI_034","LOCRC",0,10,0
"68","1589","ROI_034","LOCRC",1,19,0.0526315789473684
"69","1593","ROI_034","LOCRC",2,50,0.04
"70","16","ROI_022","EOCRC",20,444,0.045045045045045
"71","1605","ROI_034","LOCRC",6,21,0.285714285714286
"72","1624","ROI_034","LOCRC",0,11,0
"73","1626","ROI_034","LOCRC",0,11,0
"74","1629","ROI_034","LOCRC",0,12,0
"75","1640","ROI_034","LOCRC",1,85,0.0117647058823529
"76","1653","ROI_034","LOCRC",0,22,0
"77","1654","ROI_034","LOCRC",0,25,0
"78","1657","ROI_034","LOCRC",1,36,0.0277777777777778
"79","1682","ROI_034","LOCRC",1,16,0.0625
"80","1683","ROI_034","LOCRC",0,15,0
"81","1695","ROI_034","LOCRC",0,12,0
"82","1697","ROI_034","LOCRC",1,19,0.0526315789473684
"83","1701","ROI_034","LOCRC",0,59,0
"84","1716","ROI_034","LOCRC",5,38,0.131578947368421
"85","1739","ROI_034","LOCRC",0,44,0
"86","1745","ROI_034","LOCRC",3,10,0.3
"87","1754","ROI_034","LOCRC",4,23,0.173913043478261
"88","1757","ROI_034","LOCRC",11,25,0.44
"89","1760","ROI_034","LOCRC",4,17,0.235294117647059
"90","1807","ROI_034","LOCRC",12,114,0.105263157894737
"91","1824","ROI_034","LOCRC",0,33,0
"92","1846","ROI_034","LOCRC",3,27,0.111111111111111
"93","1850","ROI_034","LOCRC",0,12,0
"94","1853","ROI_034","LOCRC",0,35,0
"95","1860","ROI_034","LOCRC",1,22,0.0454545454545455
"96","1865","ROI_034","LOCRC",0,17,0
"97","1867","ROI_034","LOCRC",1,21,0.0476190476190476
"98","1873","ROI_034","LOCRC",0,35,0
"99","1883","ROI_034","LOCRC",0,11,0
"100","19","ROI_022","EOCRC",0,59,0
"101","1913","ROI_034","LOCRC",0,11,0
"102","1920","ROI_034","LOCRC",1,18,0.0555555555555556
"103","1935","ROI_034","LOCRC",0,17,0
"104","1936","ROI_034","LOCRC",0,13,0
"105","1941","ROI_034","LOCRC",1,28,0.0357142857142857
"106","1951","ROI_034","LOCRC",1,65,0.0153846153846154
"107","1957","ROI_034","LOCRC",1,26,0.0384615384615385
"108","1962","ROI_034","LOCRC",1,10,0.1
"109","1979","ROI_034","LOCRC",4,88,0.0454545454545455
"110","1983","ROI_034","LOCRC",0,27,0
"111","199","ROI_024","EOCRC",2,40,0.05
"112","2015","ROI_034","LOCRC",10,22,0.454545454545455
"113","2023","ROI_034","LOCRC",0,11,0
"114","2045","ROI_036","EOCRC",170,9044,0.018796992481203
"115","206","ROI_025","LOCRC",8,74,0.108108108108108
"116","207","ROI_025","LOCRC",2,225,0.00888888888888889
"117","209","ROI_025","LOCRC",73,1505,0.0485049833887043
"118","2095","ROI_037","LOCRC",268,5621,0.0476783490482121
"119","211","ROI_025","LOCRC",0,15,0
"120","2112","ROI_037","LOCRC",3,13,0.230769230769231
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",1,36,0.0277777777777778
"123","2174","ROI_037","LOCRC",3,165,0.0181818181818182
"124","2208","ROI_037","LOCRC",1,145,0.00689655172413793
"125","2216","ROI_037","LOCRC",0,33,0
"126","2229","ROI_038","EOCRC",26,7657,0.0033955857385399
"127","2244","ROI_038","EOCRC",0,24,0
"128","2248","ROI_038","EOCRC",0,16,0
"129","2255","ROI_038","EOCRC",0,29,0
"130","2274","ROI_038","EOCRC",0,24,0
"131","2282","ROI_038","EOCRC",0,39,0
"132","2319","ROI_001","LOCRC",0,123,0
"133","2320","ROI_001","LOCRC",0,168,0
"134","2322","ROI_001","LOCRC",2,20,0.1
"135","2329","ROI_001","LOCRC",0,308,0
"136","2341","ROI_001","LOCRC",0,17,0
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",0,24,0
"139","235","ROI_025","LOCRC",1,10,0.1
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",0,20,0
"142","2387","ROI_001","LOCRC",0,12,0
"143","2403","ROI_001","LOCRC",0,18,0
"144","2416","ROI_001","LOCRC",2,31,0.0645161290322581
"145","2427","ROI_001","LOCRC",0,27,0
"146","2432","ROI_001","LOCRC",0,14,0
"147","2434","ROI_001","LOCRC",0,23,0
"148","2482","ROI_001","LOCRC",0,11,0
"149","2484","ROI_001","LOCRC",0,26,0
"150","2489","ROI_001","LOCRC",0,11,0
"151","2490","ROI_001","LOCRC",0,13,0
"152","2491","ROI_001","LOCRC",0,22,0
"153","2493","ROI_001","LOCRC",0,29,0
"154","2494","ROI_001","LOCRC",2,12,0.166666666666667
"155","2499","ROI_001","LOCRC",0,15,0
"156","250","ROI_025","LOCRC",0,21,0
"157","2502","ROI_001","LOCRC",0,10,0
"158","2504","ROI_001","LOCRC",0,27,0
"159","252","ROI_025","LOCRC",0,12,0
"160","254","ROI_025","LOCRC",3,60,0.05
"161","2540","ROI_001","LOCRC",0,14,0
"162","2547","ROI_001","LOCRC",3,14,0.214285714285714
"163","2548","ROI_001","LOCRC",0,20,0
"164","255","ROI_025","LOCRC",7,44,0.159090909090909
"165","2553","ROI_001","LOCRC",0,31,0
"166","2596","ROI_001","LOCRC",2,11,0.181818181818182
"167","2607","ROI_001","LOCRC",0,13,0
"168","2617","ROI_001","LOCRC",0,12,0
"169","2626","ROI_001","LOCRC",0,17,0
"170","2642","ROI_001","LOCRC",0,11,0
"171","2643","ROI_001","LOCRC",1,23,0.0434782608695652
"172","2648","ROI_001","LOCRC",5,29,0.172413793103448
"173","2651","ROI_001","LOCRC",0,12,0
"174","2660","ROI_001","LOCRC",2,13,0.153846153846154
"175","2662","ROI_001","LOCRC",4,13,0.307692307692308
"176","2671","ROI_001","LOCRC",2,39,0.0512820512820513
"177","2677","ROI_001","LOCRC",5,50,0.1
"178","2679","ROI_001","LOCRC",8,53,0.150943396226415
"179","2694","ROI_001","LOCRC",0,22,0
"180","2703","ROI_001","LOCRC",0,23,0
"181","2721","ROI_002","EOCRC",609,5384,0.113112927191679
"182","279","ROI_025","LOCRC",1,43,0.0232558139534884
"183","2813","ROI_002","EOCRC",54,727,0.0742778541953232
"184","2823","ROI_002","EOCRC",0,24,0
"185","2825","ROI_002","EOCRC",0,12,0
"186","285","ROI_025","LOCRC",2,26,0.0769230769230769
"187","2886","ROI_002","EOCRC",11,96,0.114583333333333
"188","2903","ROI_002","EOCRC",0,16,0
"189","2914","ROI_003","EOCRC",180,5561,0.0323682790864952
"190","2916","ROI_003","EOCRC",2,211,0.00947867298578199
"191","2930","ROI_003","EOCRC",1,32,0.03125
"192","299","ROI_025","LOCRC",9,43,0.209302325581395
"193","301","ROI_025","LOCRC",6,162,0.037037037037037
"194","3017","ROI_003","EOCRC",0,26,0
"195","3045","ROI_003","EOCRC",1,58,0.0172413793103448
"196","3060","ROI_005","EOCRC",6,179,0.0335195530726257
"197","3061","ROI_005","EOCRC",1,68,0.0147058823529412
"198","3080","ROI_005","EOCRC",2,48,0.0416666666666667
"199","3088","ROI_005","EOCRC",1,62,0.0161290322580645
"200","3101","ROI_005","EOCRC",0,13,0
"201","3102","ROI_005","EOCRC",14,381,0.036745406824147
"202","3114","ROI_005","EOCRC",15,726,0.0206611570247934
"203","3129","ROI_005","EOCRC",0,41,0
"204","3134","ROI_005","EOCRC",0,12,0
"205","3141","ROI_005","EOCRC",0,30,0
"206","3162","ROI_005","EOCRC",36,197,0.182741116751269
"207","3167","ROI_005","EOCRC",7,182,0.0384615384615385
"208","3176","ROI_005","EOCRC",0,22,0
"209","3194","ROI_005","EOCRC",3,124,0.0241935483870968
"210","3205","ROI_005","EOCRC",0,24,0
"211","3209","ROI_005","EOCRC",0,11,0
"212","3211","ROI_005","EOCRC",1,12,0.0833333333333333
"213","3217","ROI_006","LOCRC",0,16,0
"214","3218","ROI_006","LOCRC",0,29,0
"215","3219","ROI_006","LOCRC",0,340,0
"216","3220","ROI_006","LOCRC",1,127,0.0078740157480315
"217","3255","ROI_006","LOCRC",0,116,0
"218","3265","ROI_006","LOCRC",0,31,0
"219","3282","ROI_006","LOCRC",1,47,0.0212765957446809
"220","3293","ROI_006","LOCRC",0,16,0
"221","33","ROI_022","EOCRC",0,10,0
"222","3311","ROI_006","LOCRC",0,29,0
"223","3317","ROI_006","LOCRC",0,10,0
"224","3323","ROI_006","LOCRC",2,494,0.00404858299595142
"225","3326","ROI_006","LOCRC",0,20,0
"226","3329","ROI_006","LOCRC",0,22,0
"227","3332","ROI_006","LOCRC",1,205,0.0048780487804878
"228","3338","ROI_006","LOCRC",3,123,0.024390243902439
"229","3351","ROI_006","LOCRC",1,106,0.00943396226415094
"230","3353","ROI_006","LOCRC",0,29,0
"231","3355","ROI_006","LOCRC",1,24,0.0416666666666667
"232","3357","ROI_006","LOCRC",0,15,0
"233","336","ROI_025","LOCRC",1,106,0.00943396226415094
"234","3372","ROI_006","LOCRC",0,16,0
"235","3377","ROI_006","LOCRC",0,14,0
"236","3400","ROI_006","LOCRC",0,33,0
"237","3404","ROI_006","LOCRC",0,111,0
"238","3417","ROI_006","LOCRC",0,12,0
"239","3423","ROI_006","LOCRC",0,40,0
"240","3425","ROI_006","LOCRC",0,12,0
"241","3426","ROI_006","LOCRC",2,134,0.0149253731343284
"242","3428","ROI_006","LOCRC",0,14,0
"243","3442","ROI_006","LOCRC",1,63,0.0158730158730159
"244","3448","ROI_006","LOCRC",0,11,0
"245","3471","ROI_006","LOCRC",0,16,0
"246","3475","ROI_006","LOCRC",0,38,0
"247","3476","ROI_006","LOCRC",0,14,0
"248","3478","ROI_006","LOCRC",0,17,0
"249","3487","ROI_008","LOCRC",9,100,0.09
"250","3488","ROI_008","LOCRC",1,56,0.0178571428571429
"251","3489","ROI_008","LOCRC",122,1422,0.0857946554149086
"252","3504","ROI_008","LOCRC",2,55,0.0363636363636364
"253","352","ROI_025","LOCRC",2,20,0.1
"254","3527","ROI_008","LOCRC",17,204,0.0833333333333333
"255","3538","ROI_008","LOCRC",1,32,0.03125
"256","3545","ROI_008","LOCRC",0,23,0
"257","3546","ROI_008","LOCRC",4,72,0.0555555555555556
"258","3549","ROI_008","LOCRC",17,179,0.0949720670391061
"259","3553","ROI_008","LOCRC",1,15,0.0666666666666667
