"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",10,228,0.043859649122807
"2","1008","ROI_028","LOCRC",4,49,0.0816326530612245
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",0,20,0
"5","1024","ROI_028","LOCRC",0,16,0
"6","1027","ROI_028","LOCRC",0,16,0
"7","1050","ROI_028","LOCRC",1,12,0.0833333333333333
"8","1051","ROI_028","LOCRC",0,11,0
"9","1102","ROI_028","LOCRC",1,19,0.0526315789473684
"10","111","ROI_024","EOCRC",1182,12421,0.0951614201755092
"11","1115","ROI_028","LOCRC",0,11,0
"12","1137","ROI_028","LOCRC",0,14,0
"13","1140","ROI_028","LOCRC",0,17,0
"14","1144","ROI_028","LOCRC",0,38,0
"15","1150","ROI_028","LOCRC",0,12,0
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",1,41,0.024390243902439
"18","1213","ROI_031","LOCRC",0,144,0
"19","1214","ROI_031","LOCRC",1,13,0.0769230769230769
"20","1216","ROI_031","LOCRC",0,13,0
"21","1224","ROI_031","LOCRC",0,12,0
"22","1228","ROI_031","LOCRC",0,153,0
"23","1233","ROI_031","LOCRC",10,221,0.0452488687782805
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",0,19,0
"26","1292","ROI_031","LOCRC",1,15,0.0666666666666667
"27","1301","ROI_031","LOCRC",0,16,0
"28","1306","ROI_031","LOCRC",3,150,0.02
"29","1307","ROI_031","LOCRC",0,20,0
"30","1316","ROI_031","LOCRC",3,14,0.214285714285714
"31","1318","ROI_031","LOCRC",4,92,0.0434782608695652
"32","1322","ROI_031","LOCRC",1,15,0.0666666666666667
"33","1323","ROI_031","LOCRC",2,133,0.0150375939849624
"34","1326","ROI_031","LOCRC",0,13,0
"35","1336","ROI_031","LOCRC",3,86,0.0348837209302326
"36","1357","ROI_031","LOCRC",2,69,0.0289855072463768
"37","1372","ROI_031","LOCRC",0,13,0
"38","1388","ROI_031","LOCRC",12,220,0.0545454545454545
"39","1394","ROI_031","LOCRC",5,25,0.2
"40","1399","ROI_031","LOCRC",2,18,0.111111111111111
"41","1410","ROI_031","LOCRC",0,11,0
"42","1429","ROI_033","EOCRC",0,12,0
"43","1430","ROI_033","EOCRC",0,17,0
"44","1437","ROI_033","EOCRC",54,616,0.0876623376623377
"45","1454","ROI_033","EOCRC",8,264,0.0303030303030303
"46","1457","ROI_033","EOCRC",0,10,0
"47","1462","ROI_033","EOCRC",3,17,0.176470588235294
"48","1468","ROI_033","EOCRC",36,287,0.125435540069686
"49","1493","ROI_033","EOCRC",8,77,0.103896103896104
"50","1494","ROI_033","EOCRC",1,48,0.0208333333333333
"51","1495","ROI_033","EOCRC",0,109,0
"52","1501","ROI_033","EOCRC",3,31,0.0967741935483871
"53","1502","ROI_033","EOCRC",4,27,0.148148148148148
"54","1504","ROI_033","EOCRC",1,10,0.1
"55","1510","ROI_033","EOCRC",3,14,0.214285714285714
