"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"1","1","ROI_022","EOCRC",9,228,0.0394736842105263
"2","1008","ROI_028","LOCRC",3,49,0.0612244897959184
"3","101","ROI_022","EOCRC",0,10,0
"4","1012","ROI_028","LOCRC",6,20,0.3
"5","1024","ROI_028","LOCRC",13,16,0.8125
"6","1027","ROI_028","LOCRC",2,16,0.125
"7","1050","ROI_028","LOCRC",2,12,0.166666666666667
"8","1051","ROI_028","LOCRC",4,11,0.363636363636364
"9","1102","ROI_028","LOCRC",3,19,0.157894736842105
"10","111","ROI_024","EOCRC",840,12421,0.0676274052008695
"11","1115","ROI_028","LOCRC",2,11,0.181818181818182
"12","1137","ROI_028","LOCRC",4,14,0.285714285714286
"13","1140","ROI_028","LOCRC",9,17,0.529411764705882
"14","1144","ROI_028","LOCRC",2,38,0.0526315789473684
"15","1150","ROI_028","LOCRC",10,12,0.833333333333333
"16","1163","ROI_028","LOCRC",0,15,0
"17","1196","ROI_028","LOCRC",14,41,0.341463414634146
"18","1213","ROI_031","LOCRC",1,144,0.00694444444444444
"19","1214","ROI_031","LOCRC",3,13,0.230769230769231
"20","1216","ROI_031","LOCRC",2,13,0.153846153846154
"21","1224","ROI_031","LOCRC",3,12,0.25
"22","1228","ROI_031","LOCRC",14,153,0.0915032679738562
"23","1233","ROI_031","LOCRC",20,221,0.0904977375565611
"24","1256","ROI_031","LOCRC",0,12,0
"25","1275","ROI_031","LOCRC",6,19,0.31578947368421
"26","1292","ROI_031","LOCRC",4,15,0.266666666666667
"27","1301","ROI_031","LOCRC",9,16,0.5625
"28","1306","ROI_031","LOCRC",37,150,0.246666666666667
"29","1307","ROI_031","LOCRC",5,20,0.25
"30","1316","ROI_031","LOCRC",0,14,0
"31","1318","ROI_031","LOCRC",8,92,0.0869565217391304
"32","1322","ROI_031","LOCRC",0,15,0
"33","1323","ROI_031","LOCRC",8,133,0.0601503759398496
"34","1326","ROI_031","LOCRC",0,13,0
"35","1336","ROI_031","LOCRC",8,86,0.0930232558139535
"36","1357","ROI_031","LOCRC",8,69,0.115942028985507
"37","1372","ROI_031","LOCRC",2,13,0.153846153846154
"38","1388","ROI_031","LOCRC",44,220,0.2
"39","1394","ROI_031","LOCRC",0,25,0
"40","1399","ROI_031","LOCRC",1,18,0.0555555555555556
"41","1410","ROI_031","LOCRC",1,11,0.0909090909090909
"42","1429","ROI_033","EOCRC",4,12,0.333333333333333
"43","1430","ROI_033","EOCRC",5,17,0.294117647058824
"44","1437","ROI_033","EOCRC",69,616,0.112012987012987
"45","1454","ROI_033","EOCRC",34,264,0.128787878787879
"46","1457","ROI_033","EOCRC",2,10,0.2
"47","1462","ROI_033","EOCRC",3,17,0.176470588235294
"48","1468","ROI_033","EOCRC",33,287,0.114982578397213
"49","1493","ROI_033","EOCRC",7,77,0.0909090909090909
"50","1494","ROI_033","EOCRC",19,48,0.395833333333333
"51","1495","ROI_033","EOCRC",31,109,0.284403669724771
"52","1501","ROI_033","EOCRC",14,31,0.451612903225806
"53","1502","ROI_033","EOCRC",5,27,0.185185185185185
"54","1504","ROI_033","EOCRC",0,10,0
"55","1510","ROI_033","EOCRC",1,14,0.0714285714285714
"56","1511","ROI_033","EOCRC",3,12,0.25
"57","1517","ROI_033","EOCRC",15,145,0.103448275862069
"58","1518","ROI_033","EOCRC",15,91,0.164835164835165
"59","1524","ROI_033","EOCRC",43,328,0.13109756097561
"60","1526","ROI_033","EOCRC",39,376,0.103723404255319
"61","1540","ROI_033","EOCRC",0,11,0
"62","1542","ROI_033","EOCRC",9,10,0.9
"63","1543","ROI_033","EOCRC",8,51,0.156862745098039
"64","1548","ROI_033","EOCRC",14,156,0.0897435897435897
"65","1556","ROI_033","EOCRC",9,71,0.126760563380282
"66","1561","ROI_033","EOCRC",4,12,0.333333333333333
"67","1587","ROI_034","LOCRC",1,10,0.1
"68","1589","ROI_034","LOCRC",1,19,0.0526315789473684
"69","1593","ROI_034","LOCRC",3,50,0.06
"70","16","ROI_022","EOCRC",46,444,0.103603603603604
"71","1605","ROI_034","LOCRC",1,21,0.0476190476190476
"72","1624","ROI_034","LOCRC",0,11,0
"73","1626","ROI_034","LOCRC",2,11,0.181818181818182
"74","1629","ROI_034","LOCRC",0,12,0
"75","1640","ROI_034","LOCRC",2,85,0.0235294117647059
"76","1653","ROI_034","LOCRC",2,22,0.0909090909090909
"77","1654","ROI_034","LOCRC",0,25,0
"78","1657","ROI_034","LOCRC",3,36,0.0833333333333333
"79","1682","ROI_034","LOCRC",1,16,0.0625
"80","1683","ROI_034","LOCRC",2,15,0.133333333333333
"81","1695","ROI_034","LOCRC",0,12,0
"82","1697","ROI_034","LOCRC",2,19,0.105263157894737
"83","1701","ROI_034","LOCRC",1,59,0.0169491525423729
"84","1716","ROI_034","LOCRC",2,38,0.0526315789473684
"85","1739","ROI_034","LOCRC",5,44,0.113636363636364
"86","1745","ROI_034","LOCRC",0,10,0
"87","1754","ROI_034","LOCRC",1,23,0.0434782608695652
"88","1757","ROI_034","LOCRC",2,25,0.08
"89","1760","ROI_034","LOCRC",1,17,0.0588235294117647
"90","1807","ROI_034","LOCRC",4,114,0.0350877192982456
"91","1824","ROI_034","LOCRC",1,33,0.0303030303030303
"92","1846","ROI_034","LOCRC",0,27,0
"93","1850","ROI_034","LOCRC",2,12,0.166666666666667
"94","1853","ROI_034","LOCRC",0,35,0
"95","1860","ROI_034","LOCRC",1,22,0.0454545454545455
"96","1865","ROI_034","LOCRC",0,17,0
"97","1867","ROI_034","LOCRC",1,21,0.0476190476190476
"98","1873","ROI_034","LOCRC",1,35,0.0285714285714286
"99","1883","ROI_034","LOCRC",1,11,0.0909090909090909
"100","19","ROI_022","EOCRC",0,59,0
"101","1913","ROI_034","LOCRC",0,11,0
"102","1920","ROI_034","LOCRC",0,18,0
"103","1935","ROI_034","LOCRC",4,17,0.235294117647059
"104","1936","ROI_034","LOCRC",4,13,0.307692307692308
"105","1941","ROI_034","LOCRC",0,28,0
"106","1951","ROI_034","LOCRC",1,65,0.0153846153846154
"107","1957","ROI_034","LOCRC",1,26,0.0384615384615385
"108","1962","ROI_034","LOCRC",2,10,0.2
"109","1979","ROI_034","LOCRC",14,88,0.159090909090909
"110","1983","ROI_034","LOCRC",3,27,0.111111111111111
"111","199","ROI_024","EOCRC",2,40,0.05
"112","2015","ROI_034","LOCRC",1,22,0.0454545454545455
"113","2023","ROI_034","LOCRC",0,11,0
"114","2045","ROI_036","EOCRC",284,9044,0.0314020344980097
"115","206","ROI_025","LOCRC",17,74,0.22972972972973
"116","207","ROI_025","LOCRC",61,225,0.271111111111111
"117","209","ROI_025","LOCRC",157,1505,0.104318936877076
"118","2095","ROI_037","LOCRC",131,5621,0.023305461661626
"119","211","ROI_025","LOCRC",3,15,0.2
"120","2112","ROI_037","LOCRC",1,13,0.0769230769230769
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",0,36,0
"123","2174","ROI_037","LOCRC",5,165,0.0303030303030303
"124","2208","ROI_037","LOCRC",4,145,0.0275862068965517
"125","2216","ROI_037","LOCRC",0,33,0
"126","2229","ROI_038","EOCRC",280,7657,0.0365678464150451
"127","2244","ROI_038","EOCRC",3,24,0.125
"128","2248","ROI_038","EOCRC",0,16,0
"129","2255","ROI_038","EOCRC",3,29,0.103448275862069
"130","2274","ROI_038","EOCRC",0,24,0
"131","2282","ROI_038","EOCRC",2,39,0.0512820512820513
"132","2319","ROI_001","LOCRC",7,123,0.056910569105691
"133","2320","ROI_001","LOCRC",6,168,0.0357142857142857
"134","2322","ROI_001","LOCRC",0,20,0
"135","2329","ROI_001","LOCRC",8,308,0.025974025974026
"136","2341","ROI_001","LOCRC",0,17,0
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",3,24,0.125
"139","235","ROI_025","LOCRC",2,10,0.2
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",1,20,0.05
"142","2387","ROI_001","LOCRC",1,12,0.0833333333333333
"143","2403","ROI_001","LOCRC",0,18,0
"144","2416","ROI_001","LOCRC",3,31,0.0967741935483871
"145","2427","ROI_001","LOCRC",8,27,0.296296296296296
"146","2432","ROI_001","LOCRC",2,14,0.142857142857143
"147","2434","ROI_001","LOCRC",13,23,0.565217391304348
"148","2482","ROI_001","LOCRC",3,11,0.272727272727273
"149","2484","ROI_001","LOCRC",1,26,0.0384615384615385
"150","2489","ROI_001","LOCRC",1,11,0.0909090909090909
"151","2490","ROI_001","LOCRC",0,13,0
"152","2491","ROI_001","LOCRC",3,22,0.136363636363636
"153","2493","ROI_001","LOCRC",5,29,0.172413793103448
